,maker-icon,shopID,shop-name,address,price,member-text,confirm-date
90,aker/maker_3_96x96.png,0110000202,EneJet新川SS / 中和石油(株),北海道札幌市北区新川四条4-485-56,155,現金,2022/12/25
91,/ext_maker_19_96x96.png,0109000001,ビックセルフ東橋 / (株)コニサーオイル,北海道札幌市中央区北一条東13-1-2,155,会員,2022/12/25
92,aker/maker_99_96x96.png,0199000620,スーパーセルフ帯広SS / (株)東日本エネルギー,北海道帯広市西十八条南27-1-28,155,会員,2022/12/23
93,/ext_maker_19_96x96.png,0199000611,セルフランド五輪通 / (株)コニサーオイル,北海道札幌市南区澄川五条10-9-14,155,現金,2022/12/19
94,aker/maker_8_96x96.png,0108000176,セルフ北光町SS / 出光リテール販売(株),北海道苫小牧市北光町4-14-15,155,会員,2022/12/18
95,aker/maker_8_96x96.png,0108000177,セルフ川沿SS / 出光リテール販売(株),北海道苫小牧市川沿町5-13-23,155,会員,2022/12/18
96,/ext_maker_7_96x96.png,0199000553,CLOVER岩見沢給油所 /  (株)アサヒ商会,北海道岩見沢市二条東16-11,155,現金,2022/12/18
97,/ext_maker_19_96x96.png,0109000006,セルフランド苫小牧 / (株)コニサーオイル,北海道苫小牧市一本松町4-7,155,会員,2022/12/18
98,aker/maker_8_96x96.png,0108000095,セルフ砂川SS / 出光リテール販売(株),北海道砂川市空知太西一条3-142,155,現金,2022/12/18
99,aker/maker_99_96x96.png,0199000181,【ホクレンSS】奈井江セルフSS / JA新すながわ,北海道空知郡奈井江町字奈井江北町84-1,155,会員,2022/12/18
100,aker/maker_99_96x96.png,0199000182,【ホクレンSS】砂川セルフSS / JA新すながわ,北海道砂川市西一条北22-1-1,155,会員,2022/12/18
101,aker/maker_6_96x96.png,0106000133,セルフステーション北広 / コスモ石油販売北海道カンパニー(株),北海道北広島市美沢2-9-14,155,会員,2022/12/11
102,aker/maker_99_96x96.png,0199000145,【ホクレンSS】栗山セルフSS / (株)メリーワーク,北海道夕張郡栗山町共和1-3,155,会員,2022/12/10
103,aker/maker_99_96x96.png,0199000141,【ホクレンSS】由仁セルフSS / (株)メリーワーク,北海道夕張郡由仁町新光79,155,会員,2022/12/10
104,/ext_maker_4_96x96.png,0199000458,セルフ発寒下手稲通 / (株)オカモト,北海道札幌市西区発寒十四条11-1-22,155,現金,2022/12/9
105,/ext_maker_19_96x96.png,0199000611,セルフランド五輪通 / (株)コニサーオイル,北海道札幌市南区澄川五条10-9-14,155,会員,2022/12/6
106,aker/maker_99_96x96.png,0199000430,美唄給油所 / (株)丸平,北海道美唄市大通東一条北4-1-1,155,現金,2022/12/4
107,/ext_maker_19_96x96.png,0109000017,ガソリンボーイ石狩 / (株)ニチエネ,北海道石狩市船場町2-83,155,現金,2022/12/3
108,aker/maker_3_96x96.png,0102000011,セルフ函館 / (株)オカモト,北海道函館市亀田本町65-19,156,会員,2022/12/31
109,aker/maker_3_96x96.png,0199000160,セルフ根室SS / (株)オカモト,北海道根室市穂香1-5,156,会員,2022/12/31
110,aker/maker_3_96x96.png,0102000020,セルフ留萌SS / (株)オカモト,北海道留萌市潮静2-1-1,156,会員,2022/12/31
111,/ext_maker_4_96x96.png,0199000632,セルフ恵庭恵み野 / (株)オカモト,北海道恵庭市恵み野里美1-2-9,156,会員,2022/12/31
112,aker/maker_3_96x96.png,0101000035,南郷16丁目セルフ / 北海道エネルギー(株),北海道札幌市白石区南郷通16-北1-21,156,会員,2022/12/30
113,aker/maker_3_96x96.png,0103000169,Dr.Drive 南郷通店 / (株)三ツ輪商会,北海道札幌市白石区東札幌二条5-7-13,156,会員,2022/12/30
114,aker/maker_3_96x96.png,0103000197,Dr.Drive 月寒店 / 栗林石油(株),北海道札幌市豊平区月寒中央通10-3-31,156,会員,2022/12/30
115,aker/maker_8_96x96.png,0108000040,セルフ北39条SS / 出光リテール販売(株),北海道札幌市東区北三十九条東8-1-1,156,会員,2022/12/30
116,aker/maker_8_96x96.png,0108000061,セルフ美園SS / 出光リテール販売(株),北海道札幌市豊平区美園三条1-3-3,156,会員,2022/12/30
117,aker/maker_8_96x96.png,0108000050,セルフ札苗SS / 出光リテール販売(株),北海道札幌市東区東苗穂三条2-4-20,156,会員,2022/12/30
118,aker/maker_8_96x96.png,0108000052,セルフ北37条SS / 出光リテール販売(株),北海道札幌市東区北三十七条東16-1-1,156,会員,2022/12/30
119,aker/maker_6_96x96.png,0106000207,札幌新川SS / (株)キタセキ,北海道札幌市北区新川三条17-1,156,現金,2022/12/30
120,aker/maker_3_96x96.png,0110000049,EneJet元町 / 中和石油(株),北海道札幌市東区北二十三条東14-22-1,156,会員,2022/12/29
121,aker/maker_8_96x96.png,0103000153,AIX’セルフ麻生SS / (株)アイックス,北海道札幌市北区北三十六条西2-3-26,156,会員,2022/12/29
122,aker/maker_3_96x96.png,0103000165,Dr.Drive 栄通店 / 栗林石油(株),北海道札幌市白石区栄通20-1-31,156,会員,2022/12/29
123,aker/maker_3_96x96.png,0103000020,チャレンジ恵み野 / 北海道エネルギー(株),北海道恵庭市恵み野西3-1-5,156,会員,2022/12/29
124,aker/maker_99_96x96.png,0199000035,【ホクレンSS】八幡SS / JAいしかり,北海道石狩市八幡1-423-3,156,現金,2022/12/29
125,aker/maker_8_96x96.png,0108000386,AIX’セルフ新発寒SS / (株)アイックス,北海道札幌市手稲区新発寒四条6-12,156,現金,2022/12/28
126,aker/maker_99_96x96.png,0199000040,【ホクレンSS】篠路セルフSS / (株)ホクレン油機サービス,北海道札幌市北区篠路二条10-11-7,156,現金,2022/12/28
127,/ext_maker_19_96x96.png,0199000426,セルフランド昭和タウンプラザ / (株)コニサーオイル,北海道函館市昭和1-29-9,156,現金,2022/12/27
128,/ext_maker_7_96x96.png,0199000493,CLOVER石川給油所 / (株)アサヒ商会,北海道函館市石川町177-1,156,現金,2022/12/27
129,/ext_maker_7_96x96.png,0199000497,CLOVER桔梗給油所 / (株)アサヒ商会,北海道函館市桔梗町1-7-20,156,現金,2022/12/27
130,aker/maker_99_96x96.png,0106000221,【ホクレンSS】滝川東町セルフSS / (株)JAたきかわサービス,北海道滝川市東町2-43-1,156,会員,2022/12/27
131,aker/maker_8_96x96.png,0108000073,AIX’セルフ川下SS / (株)アイックス,北海道札幌市白石区川下五条1-1-20,156,現金,2022/12/27
132,aker/maker_8_96x96.png,0108000081,AIX’セルフ新札幌SS / (株)アイックス,北海道札幌市厚別区厚別東一条1-1-1,156,会員,2022/12/27
133,aker/maker_7_96x96.png,0107000216,環状豊岡セルフSS / 茂田石油(株),北海道旭川市豊岡十五条6-6-17,156,会員,2022/12/27
